,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,7.52147104802508e-05
13,Financing cash outflow,Desalination,0.0005189892115850875
14,Operating Expenses,Desalination Fixed O&M Cost,0.0022913845442482593
15,Financing cash outflow,Compression,0.004226230813929004
16,Operating Expenses,Cash on hand reserve,0.012609516184557419
17,Operating Expenses,Water,0.013622038964452972
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02347872316467317
19,Financing cash outflow,Battery Storage,0.031304964219564226
20,Financing cash outflow,Hydrogen Storage,0.03711033741215175
21,Operating Expenses,Property insurance,0.05713688822442632
22,Operating Expenses,Var O&M,0.07444500712538625
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.11552979529766522
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.12997101970987335
25,Financing cash outflow,Income taxes payable,0.23324078404009527
26,Financing cash outflow,Solar Plant,0.23442620103642645
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.37057337139679103
28,Financing cash outflow,Wind Plant,0.5398018776679923
29,Financing cash outflow,Electrolysis system,0.8546141001855933
30,Financing cash outflow,Repayment of debt,0.9346837661252562
31,Financing cash outflow,Interest expense,1.3653262903535817
32,Financing cash outflow,Dividends paid,1.6625897142254218
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,7.52147104802508e-05
37,Operating Revenue,Cash on hand recovery,0.012609516184557419
38,Financing cash inflow,One time capital incentive,0.018170490160088548
39,Financing cash inflow,Monetized tax losses,0.5601311636721816
40,Financing cash inflow,Inflow of debt,0.9346837661252562
41,Financing cash inflow,Inflow of equity,1.47255924313392
42,Operating Revenue,Hydrogen sales,3.6993468206276665
