,Total Life Cycle H2 Production (tonnes-H2/MW),Total Scope 2 (Combustion) GHG Emissions (tonnes-CO2e/MW),Total Scope 3 (Production) GHG Emissions (tonnes-CO2e/MW),Total Life Cycle Emissions (tonnes-CO2e/MW),Annaul Average Grid Emission Intensity (kg-CO2/MWh),SMR Scope 3 GHG Emissions (kg-CO2e/kg-H2),SMR Scope 2 GHG Emissions (kg-CO2e/kg-H2),SMR Scope 1 GHG Emissions (kg-CO2e/kg-H2),SMR Total GHG Emissions (kg-CO2e/kg-H2),Ammonia SMR Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR Total GHG Emissions (kg-CO2e/kg-NH3),Steel SMR Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel SMR Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel SMR Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel SMR Total GHG Emissions (kg-CO2e/MT steel),SMR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-H2),SMR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-H2),SMR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-H2),SMR with CCS Total GHG Emissions (kg-CO2e/kg-H2),Ammonia SMR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR with CCS Total GHG Emissions (kg-CO2e/kg-NH3),Steel SMR with CCS Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel SMR with CCS Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel SMR with CCS Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel SMR with CCS Total GHG Emissions (kg-CO2e/MT steel),ATR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-H2),ATR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-H2),ATR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-H2),ATR with CCS Total GHG Emissions (kg-CO2e/kg-H2),Ammonia ATR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia ATR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia ATR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia ATR with CCS Total GHG Emissions (kg-CO2e/kg-NH3),Steel ATR with CCS Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel ATR with CCS Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel ATR with CCS Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel ATR with CCS Total GHG Emissions (kg-CO2e/MT steel),Electrolysis Scope 3 GHG Emissions (kg-CO2e/kg-H2),Electrolysis Scope 2 GHG Emissions (kg-CO2e/kg-H2),Electrolysis Scope 1 GHG Emissions (kg-CO2e/kg-H2),Electrolysis Total GHG Emissions (kg-CO2e/kg-H2),Ammonia Electrolysis Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia Electrolysis Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia Electrolysis Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia Electrolysis Total GHG Emissions (kg-CO2e/kg-NH3),Steel Electrolysis Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel Electrolysis Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel Electrolysis Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel Electrolysis Total GHG Emissions (kg-CO2e/MT steel),Site,Year,Turbine Size,Electrolysis case,Electrolysis cost case,Policy Option,Grid case,Renewables case,Wind model,Degradation modeled?,Stack optimized?,NPC string,Num pem clusters,Storage string,Storage multiplier
0,73288932.07856058,0.0,0.0,0.0,0.0,2.1201976464888395,0.0008135207305936074,7.792144555555557,9.913155722774995,1.9836350987498128,0.00030964632808219185,0.463,2.4469447450778956,765.0235771608205,2.7974944123287675,213.95,981.7710715731494,2.1201976464888395,0.0008135207305936074,0.5008030000000004,2.796237235316189,0.5602514012580518,0.00030964632808219185,0.463,1.0235610475861339,295.59163372803806,2.7974944123287675,213.95,509.8328720954224,2.214287634376666,0.018100836255707763,0.5258521599999998,2.758240630632373,0.5526520803212889,0.00030964632808219185,0.463,1.0159617266493717,293.0853776830937,2.7974944123287675,213.95,509.8328720954224,0.92067267147705,0.27815028528519564,0,1.1988229567622448,0.2407685455472636,0.00030964632808219185,0.463,0.7040781918753457,190.22618791462008,2.7974944123287675,213.95,406.9736823269487,IA,2022,8.3MW,Centralized,EC-cost-Mid,base,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
1,73288932.07856058,0.0,0.0,0.0,0.0,2.1202183314072114,0.0,7.792144555555557,9.912362886962772,1.9834844047844236,0.0,0.463,2.4464844047844236,764.3003063570565,0.0,213.95,978.2503063570562,2.1202183314072114,0.0,0.5008030000000004,2.78741693690521,0.5584952147729112,0.0,0.463,1.0214952147729113,294.33887149126036,0.0,213.95,505.2008285631277,2.2147478738104187,0.0,0.5258521599999998,2.740600033810417,0.5491318341539526,0.0,0.463,1.0121318341539534,291.2508285631279,0.0,213.95,505.2008285631277,0.7342866498799997,0.11737055116885604,0,0.8516572010488558,0.17133539440458548,0.00030964632808219185,0.463,0.634645040732668,167.31873617910347,2.7974944123287675,213.95,384.0662305914324,IA,2022,8.3MW,Centralized,EC-cost-Mid,base,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
2,80960671.16046998,0.0,0.0,0.0,0.0,2.1202183314072087,0.0,7.792144555555557,9.912362886962766,1.9834844047844231,0.0,0.463,2.446484404784424,764.3003063570567,0.0,213.95,978.2503063570572,2.1202183314072087,0.0,0.5008030000000004,2.7874169369052106,0.5584952147729114,0.0,0.463,1.0214952147729115,294.3388714912604,0.0,213.95,505.200828563128,2.2147478738104187,0.0,0.5258521599999998,2.7406000338104195,0.549131834153953,0.0,0.463,1.0121318341539534,291.2508285631278,0.0,213.95,505.200828563128,1.3967014705897076,0.0,0,1.3967014705897076,0.28034424831275595,0.0003096463280821918,0.463,0.743653894640838,203.2782546866795,2.797494412328767,213.95,420.0257490990081,IA,2022,8.3MW,Centralized,EC-cost-Mid,base,off-grid,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,22,SM,1.0
3,73288932.07856058,0.0,0.0,0.0,0.0,2.1201976464888395,0.0008135207305936074,7.792144555555557,9.913155722774995,1.9836350987498128,0.00030964632808219185,0.463,2.4469447450778956,765.0235771608205,2.7974944123287675,213.95,981.7710715731494,2.1201976464888395,0.0008135207305936074,0.5008030000000004,2.796237235316189,0.5602514012580518,0.00030964632808219185,0.463,1.0235610475861339,295.59163372803806,2.7974944123287675,213.95,509.8328720954224,2.214287634376666,0.018100836255707763,0.5258521599999998,2.758240630632373,0.5526520803212889,0.00030964632808219185,0.463,1.0159617266493717,293.0853776830937,2.7974944123287675,213.95,509.8328720954224,0.92067267147705,0.27815028528519564,0,1.1988229567622448,0.2407685455472636,0.00030964632808219185,0.463,0.7040781918753457,190.22618791462008,2.7974944123287675,213.95,406.9736823269487,IA,2022,8.3MW,Centralized,EC-cost-Mid,max,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
4,73288932.07856058,0.0,0.0,0.0,0.0,2.1202183314072114,0.0,7.792144555555557,9.912362886962772,1.9834844047844236,0.0,0.463,2.4464844047844236,764.3003063570565,0.0,213.95,978.2503063570562,2.1202183314072114,0.0,0.5008030000000004,2.78741693690521,0.5584952147729112,0.0,0.463,1.0214952147729113,294.33887149126036,0.0,213.95,505.2008285631277,2.2147478738104187,0.0,0.5258521599999998,2.740600033810417,0.5491318341539526,0.0,0.463,1.0121318341539534,291.2508285631279,0.0,213.95,505.2008285631277,0.7342866498799997,0.11737055116885604,0,0.8516572010488558,0.17133539440458548,0.00030964632808219185,0.463,0.634645040732668,167.31873617910347,2.7974944123287675,213.95,384.0662305914324,IA,2022,8.3MW,Centralized,EC-cost-Mid,max,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
5,81247841.28651537,0.0,0.0,0.0,0.0,2.12021833140721,0.0,7.792144555555557,9.912362886962766,1.9834844047844222,0.0,0.463,2.446484404784424,764.3003063570571,0.0,213.95,978.2503063570576,2.12021833140721,0.0,0.5008030000000004,2.787416936905209,0.5584952147729114,0.0,0.463,1.0214952147729122,294.33887149126053,0.0,213.95,505.20082856312797,2.2147478738104196,0.0,0.5258521599999998,2.740600033810417,0.5491318341539531,0.0,0.463,1.012131834153953,291.25082856312775,0.0,213.95,505.20082856312797,1.4459471023651633,0.0,0,1.4459471023651633,0.2901933746678467,0.00030964632808219185,0.463,0.7535030209959293,206.52649655858852,2.797494412328767,213.95,423.2739909709175,IA,2022,8.3MW,Centralized,EC-cost-Mid,max,off-grid,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,22,SM,1.0
6,73288932.07856058,0.0,0.0,0.0,0.0,2.1201976464888395,0.0008135207305936074,7.792144555555557,9.913155722774995,1.9836350987498128,0.00030964632808219185,0.463,2.4469447450778956,765.0235771608205,2.7974944123287675,213.95,981.7710715731494,2.1201976464888395,0.0008135207305936074,0.5008030000000004,2.796237235316189,0.5602514012580518,0.00030964632808219185,0.463,1.0235610475861339,295.59163372803806,2.7974944123287675,213.95,509.8328720954224,2.214287634376666,0.018100836255707763,0.5258521599999998,2.758240630632373,0.5526520803212889,0.00030964632808219185,0.463,1.0159617266493717,293.0853776830937,2.7974944123287675,213.95,509.8328720954224,0.92067267147705,0.27815028528519564,0,1.1988229567622448,0.2407685455472636,0.00030964632808219185,0.463,0.7040781918753457,190.22618791462008,2.7974944123287675,213.95,406.9736823269487,IA,2022,8.3MW,Centralized,EC-cost-Mid,no-policy,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
7,73288932.07856058,0.0,0.0,0.0,0.0,2.1202183314072114,0.0,7.792144555555557,9.912362886962772,1.9834844047844236,0.0,0.463,2.4464844047844236,764.3003063570565,0.0,213.95,978.2503063570562,2.1202183314072114,0.0,0.5008030000000004,2.78741693690521,0.5584952147729112,0.0,0.463,1.0214952147729113,294.33887149126036,0.0,213.95,505.2008285631277,2.2147478738104187,0.0,0.5258521599999998,2.740600033810417,0.5491318341539526,0.0,0.463,1.0121318341539534,291.2508285631279,0.0,213.95,505.2008285631277,0.7342866498799997,0.11737055116885604,0,0.8516572010488558,0.17133539440458548,0.00030964632808219185,0.463,0.634645040732668,167.31873617910347,2.7974944123287675,213.95,384.0662305914324,IA,2022,8.3MW,Centralized,EC-cost-Mid,no-policy,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
8,80960671.16046998,0.0,0.0,0.0,0.0,2.1202183314072087,0.0,7.792144555555557,9.912362886962766,1.9834844047844231,0.0,0.463,2.446484404784424,764.3003063570567,0.0,213.95,978.2503063570572,2.1202183314072087,0.0,0.5008030000000004,2.7874169369052106,0.5584952147729114,0.0,0.463,1.0214952147729115,294.3388714912604,0.0,213.95,505.200828563128,2.2147478738104187,0.0,0.5258521599999998,2.7406000338104195,0.549131834153953,0.0,0.463,1.0121318341539534,291.2508285631278,0.0,213.95,505.200828563128,1.3967014705897076,0.0,0,1.3967014705897076,0.28034424831275595,0.0003096463280821918,0.463,0.743653894640838,203.2782546866795,2.797494412328767,213.95,420.0257490990081,IA,2022,8.3MW,Centralized,EC-cost-Mid,no-policy,off-grid,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,22,SM,1.0
9,73288932.07856058,0.0,0.0,0.0,0.0,2.1201976464888395,0.0008135207305936074,7.792144555555557,9.913155722774995,1.9836350987498128,0.00030964632808219185,0.463,2.4469447450778956,765.0235771608205,2.7974944123287675,213.95,981.7710715731494,2.1201976464888395,0.0008135207305936074,0.5008030000000004,2.796237235316189,0.5602514012580518,0.00030964632808219185,0.463,1.0235610475861339,295.59163372803806,2.7974944123287675,213.95,509.8328720954224,2.214287634376666,0.018100836255707763,0.5258521599999998,2.758240630632373,0.5526520803212889,0.00030964632808219185,0.463,1.0159617266493717,293.0853776830937,2.7974944123287675,213.95,509.8328720954224,0.92067267147705,0.27815028528519564,0,1.1988229567622448,0.2407685455472636,0.00030964632808219185,0.463,0.7040781918753457,190.22618791462008,2.7974944123287675,213.95,406.9736823269487,IA,2025,8.3MW,Centralized,EC-cost-Mid,base,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
